price,stock_name
"1,408.75",Piramal Enter
"1,125.00",Muthoot Finance
82.50,ONGC
3.32,Jaiprakash Asso
761.20,Infosys
"1,353.95",Kotak Mahindra
128.50,Sterlite Techno
144.70,Hindalco
"1,029.65",PVR
348.45,Bharat Forge
103.85,Vedanta
price,stock_name
55.60,Alok Industries
"1,351.00",Metropolis
"1,772.05",Reliance
"2,958.00",Bajaj Finance
219.30,Indiabulls Hsg
427.60,Axis Bank
4.75,Reliance Power
98.35,Motherson Sumi
139.25,Future Retail
573.20,Bharti Airtel
104.65,Tata Motors
10.07,Vodafone Idea
491.20,IndusInd Bank
"1,078.05",HDFC Bank
184.45,SBI
207.00,ITC
52.60,BTL
"2,181.85",TCS
108.90,Phillips Carbon
574.75,HDFC Life
"2,169.20",HUL
363.55,Adani Ports
"2,722.00",Hero Motocorp
50.35,Tata Power
202.15,Cholamandalam
340.50,Bandhan Bank
"6,204.95",Bajaj Finserv
270.60,Petronet LNG
183.35,M&M Financial
365.10,Bharat Dynamics
364.45,ICICI Bank
"1,880.00",HDFC
93.65,Bharat Elec
38.10,BHEL
"5,950.50",Maruti Suzuki
527.95,M&M
174.90,RBL Bank
9.95,CG Power 
245.20,Ujjivan Financi
154.30,Jindal Steel
363.75,Cadila Health
"2,934.00",Bajaj Auto
332.60,Tata Steel
40.50,Reliance Infra
"2,187.25",Divis Labs
"1,701.35",Asian Paints
514.25,IOL Chemicals
389.20,Just Dial
949.75,Larsen
"1,410.00",Piramal Enter
"1,125.80",Muthoot Finance
82.65,ONGC
3.32,Jaiprakash Asso
761.35,Infosys
"1,355.90",Kotak Mahindra
128.85,Sterlite Techno
144.80,Hindalco
"1,028.85",PVR
348.85,Bharat Forge
103.95,Vedanta
price,stock_name
55.60,Alok Industries
"1,351.00",Metropolis
"1,772.05",Reliance
"2,958.00",Bajaj Finance
219.30,Indiabulls Hsg
427.60,Axis Bank
4.75,Reliance Power
98.35,Motherson Sumi
139.25,Future Retail
573.20,Bharti Airtel
104.65,Tata Motors
10.07,Vodafone Idea
491.20,IndusInd Bank
"1,078.05",HDFC Bank
184.45,SBI
207.00,ITC
52.60,BTL
"2,181.85",TCS
108.90,Phillips Carbon
574.75,HDFC Life
"2,169.20",HUL
363.55,Adani Ports
"2,722.00",Hero Motocorp
50.35,Tata Power
202.15,Cholamandalam
340.50,Bandhan Bank
"6,204.95",Bajaj Finserv
270.60,Petronet LNG
183.35,M&M Financial
365.10,Bharat Dynamics
364.45,ICICI Bank
"1,880.00",HDFC
93.65,Bharat Elec
38.10,BHEL
"5,950.50",Maruti Suzuki
527.95,M&M
174.90,RBL Bank
9.95,CG Power 
245.20,Ujjivan Financi
154.30,Jindal Steel
363.75,Cadila Health
"2,934.00",Bajaj Auto
332.60,Tata Steel
40.50,Reliance Infra
"2,187.25",Divis Labs
"1,701.35",Asian Paints
514.25,IOL Chemicals
389.20,Just Dial
949.75,Larsen
"1,410.00",Piramal Enter
"1,125.80",Muthoot Finance
82.65,ONGC
3.32,Jaiprakash Asso
761.35,Infosys
"1,355.90",Kotak Mahindra
128.85,Sterlite Techno
144.80,Hindalco
"1,028.85",PVR
348.85,Bharat Forge
103.95,Vedanta
price,stock_name
55.60,Alok Industries
"1,351.00",Metropolis
"1,772.05",Reliance
"2,958.00",Bajaj Finance
219.30,Indiabulls Hsg
427.60,Axis Bank
4.75,Reliance Power
98.35,Motherson Sumi
139.25,Future Retail
573.20,Bharti Airtel
104.65,Tata Motors
10.07,Vodafone Idea
491.20,IndusInd Bank
"1,078.05",HDFC Bank
184.45,SBI
207.00,ITC
52.60,BTL
"2,181.85",TCS
108.90,Phillips Carbon
574.75,HDFC Life
"2,169.20",HUL
363.55,Adani Ports
"2,722.00",Hero Motocorp
50.35,Tata Power
202.15,Cholamandalam
340.50,Bandhan Bank
"6,204.95",Bajaj Finserv
270.60,Petronet LNG
183.35,M&M Financial
365.10,Bharat Dynamics
364.45,ICICI Bank
"1,880.00",HDFC
93.65,Bharat Elec
38.10,BHEL
"5,950.50",Maruti Suzuki
527.95,M&M
174.90,RBL Bank
9.95,CG Power 
245.20,Ujjivan Financi
154.30,Jindal Steel
363.75,Cadila Health
"2,934.00",Bajaj Auto
332.60,Tata Steel
40.50,Reliance Infra
"2,187.25",Divis Labs
"1,701.35",Asian Paints
514.25,IOL Chemicals
389.20,Just Dial
949.75,Larsen
"1,410.00",Piramal Enter
"1,125.80",Muthoot Finance
82.65,ONGC
3.32,Jaiprakash Asso
761.35,Infosys
"1,355.90",Kotak Mahindra
128.85,Sterlite Techno
144.80,Hindalco
"1,028.85",PVR
348.85,Bharat Forge
103.95,Vedanta
price,stock_name
55.60,Alok Industries
"1,351.00",Metropolis
"1,772.05",Reliance
"2,958.00",Bajaj Finance
219.30,Indiabulls Hsg
427.60,Axis Bank
4.75,Reliance Power
98.35,Motherson Sumi
139.25,Future Retail
573.20,Bharti Airtel
104.65,Tata Motors
10.07,Vodafone Idea
491.20,IndusInd Bank
"1,078.05",HDFC Bank
184.45,SBI
207.00,ITC
52.60,BTL
"2,181.85",TCS
108.90,Phillips Carbon
574.75,HDFC Life
"2,169.20",HUL
363.55,Adani Ports
"2,722.00",Hero Motocorp
50.35,Tata Power
202.15,Cholamandalam
340.50,Bandhan Bank
"6,204.95",Bajaj Finserv
270.60,Petronet LNG
183.35,M&M Financial
365.10,Bharat Dynamics
364.45,ICICI Bank
"1,880.00",HDFC
93.65,Bharat Elec
38.10,BHEL
"5,950.50",Maruti Suzuki
527.95,M&M
174.90,RBL Bank
9.95,CG Power 
245.20,Ujjivan Financi
154.30,Jindal Steel
363.75,Cadila Health
"2,934.00",Bajaj Auto
332.60,Tata Steel
40.50,Reliance Infra
"2,187.25",Divis Labs
"1,701.35",Asian Paints
514.25,IOL Chemicals
389.20,Just Dial
949.75,Larsen
"1,410.00",Piramal Enter
"1,125.80",Muthoot Finance
82.65,ONGC
3.32,Jaiprakash Asso
761.35,Infosys
"1,355.90",Kotak Mahindra
128.85,Sterlite Techno
144.80,Hindalco
"1,028.85",PVR
348.85,Bharat Forge
103.95,Vedanta
price,stock_name
55.60,Alok Industries
"1,351.00",Metropolis
"1,773.00",Reliance
"2,960.95",Bajaj Finance
219.60,Indiabulls Hsg
427.95,Axis Bank
4.75,Reliance Power
98.25,Motherson Sumi
139.15,Future Retail
573.05,Bharti Airtel
104.80,Tata Motors
10.08,Vodafone Idea
491.05,IndusInd Bank
"1,079.00",HDFC Bank
184.45,SBI
206.95,ITC
52.60,BTL
"2,182.40",TCS
109.20,Phillips Carbon
575.00,HDFC Life
"2,169.00",HUL
363.20,Adani Ports
"2,722.00",Hero Motocorp
202.45,Cholamandalam
50.35,Tata Power
340.60,Bandhan Bank
"6,203.80",Bajaj Finserv
270.60,Petronet LNG
365.65,Bharat Dynamics
183.65,M&M Financial
364.40,ICICI Bank
"1,881.80",HDFC
93.50,Bharat Elec
38.00,BHEL
"5,950.70",Maruti Suzuki
528.20,M&M
175.20,RBL Bank
244.95,Ujjivan Financi
9.88,CG Power 
154.40,Jindal Steel
363.75,Cadila Health
332.90,Tata Steel
"2,934.00",Bajaj Auto
40.50,Reliance Infra
"2,187.35",Divis Labs
"1,702.25",Asian Paints
513.25,IOL Chemicals
389.20,Just Dial
950.00,Larsen
"1,410.00",Piramal Enter
"1,125.80",Muthoot Finance
82.70,ONGC
3.35,Jaiprakash Asso
761.45,Infosys
"1,357.20",Kotak Mahindra
128.75,Sterlite Techno
144.90,Hindalco
350.00,Bharat Forge
"1,029.65",PVR
104.00,Vedanta
price,stock_name
55.60,Alok Industries
"1,351.00",Metropolis
"1,773.20",Reliance
"2,960.50",Bajaj Finance
219.40,Indiabulls Hsg
427.95,Axis Bank
